RecipeID,Category,Subcategory1,Subcategory2,Name,Ingredients,Methods,Instructions,Sensory Storytelling
COU-011,Concoctions,Courgettes On Holiday,Odyssey,Moroccan Chermoula-Marinated Courgette with Preserved Lemon and Smoked Almonds,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Chermoula marinade"", ""amount"": ""2 tbsp""}, {""ingredient"": ""Preserved lemon"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Smoked almonds"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Extra virgin olive oil"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""marinated in chermoula for depth""}, {""ingredient"": ""Preserved lemon"", ""method"": ""preserved for citrus intensity""}, {""ingredient"": ""Dish"", ""method"": ""finished with crushed smoked almonds""}]",Marinate courgettes in chermoula for 1 hour. Grill until slightly charred. Garnish with preserved lemon and smoked almonds before serving.,"A dish alive with heat and fragrance, where the warm embrace of chermoula seeps into the courgette’s tender flesh, infusing it with cumin, paprika, and sun-drenched citrus. The preserved lemon’s sharp, briny tang sparks on the palate, cutting through the richness, while smoked almonds crumble beneath each bite, leaving behind a whisper of earth and fire—a journey through the spice markets of Marrakech in a single taste."
COU-012,Concoctions,Courgettes On Holiday,Odyssey,Korean Gochujang-Glazed Courgette with Sesame and Crispy Shallots,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Gochujang"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Honey"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Soy sauce"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Toasted sesame seeds"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Crispy shallots"", ""amount"": ""2 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""roasted with a spicy gochujang glaze""}, {""ingredient"": ""Shallots"", ""method"": ""fried until golden and crispy""}, {""ingredient"": ""Dish"", ""method"": ""finished with sesame and soy glaze""}]","Toss courgette batons in a gochujang, honey, and soy glaze. Roast at 200°C (390°F) until caramelized. Garnish with crispy shallots and toasted sesame before serving.","A dish that hits with intensity—the fermented fire of gochujang clings to roasted courgette batons, their surfaces lacquered in a sticky sheen of chili, honey, and soy. Each bite crackles with the golden crispness of shallots, while the gentle nuttiness of toasted sesame lingers, balancing heat with warmth. This is a dish that doesn’t whisper—it sings."
COU-013,Concoctions,Courgettes On Holiday,Odyssey,Sicilian Caponata with Roasted Courgette and Aged Balsamic,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Sicilian eggplant"", ""amount"": ""100g""}, {""ingredient"": ""Aged balsamic vinegar"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Capers"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Castelvetrano olives"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""roasted for sweetness""}, {""ingredient"": ""Capers"", ""method"": ""rinsed to remove excess salt""}, {""ingredient"": ""Dish"", ""method"": ""finished with aged balsamic reduction""}]","Roast courgettes and eggplant until tender. Toss with capers, olives, and aged balsamic. Serve warm or at room temperature.","A dish as bold and sun-drenched as the Sicilian coast, where roasted courgettes and velvety eggplant soak in the briny kiss of capers and Castelvetrano olives. The aged balsamic reduction drapes across it all like liquid gold, its dark, syrupy tang deepening every note of sweetness and acidity. Every bite is a tribute to tradition, a taste of the island’s soul."
COU-014,Concoctions,Courgettes On Holiday,Odyssey,Courgette and Ricotta Ravioli with Saffron Butter and Pistachio Dust,"[{""ingredient"": ""Fresh pasta dough"", ""amount"": ""250g""}, {""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Ricotta"", ""amount"": ""100g""}, {""ingredient"": ""Saffron-infused butter"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Crushed pistachios"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""grated and mixed into ricotta filling""}, {""ingredient"": ""Pasta"", ""method"": ""rolled and cut into ravioli""}, {""ingredient"": ""Dish"", ""method"": ""finished with saffron butter and pistachios""}]","Mix grated courgettes with ricotta and season. Fill fresh pasta dough and seal into ravioli. Boil until al dente, then toss in saffron butter and finish with pistachio dust.","An ethereal embrace of silk and gold, where paper-thin pasta gives way to a ricotta and courgette filling as light as a sigh. The saffron butter drapes over each raviolo, pooling in delicate rivulets of golden opulence, while pistachio dust provides a final whisper of crunch and verdant perfume. This is luxury in its most delicate form—soft, warm, and endlessly seductive."
COU-015,Concoctions,Courgettes On Holiday,Odyssey,Grilled Courgette and Halloumi Skewers with Harissa Yogurt,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Halloumi"", ""amount"": ""100g""}, {""ingredient"": ""Harissa paste"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Greek yogurt"", ""amount"": ""100g""}, {""ingredient"": ""Lemon zest"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""grilled until lightly charred""}, {""ingredient"": ""Harissa yogurt"", ""method"": ""whisked for spice""}, {""ingredient"": ""Dish"", ""method"": ""finished with lemon zest and extra virgin olive oil""}]",Thread courgette ribbons and halloumi onto skewers. Grill until golden. Serve with harissa yogurt and a sprinkle of lemon zest.,"The sizzle of fire meeting cheese is unmistakable—halloumi’s briny bite caramelizing alongside ribbons of charred courgette, their edges kissed with smoke and citrus. A swirl of harissa yogurt offers a cool, spiced contrast, its heat tempered by tangy depth, its aroma reminiscent of North African spice markets and warm summer nights."
COU-016,Concoctions,Courgettes On Holiday,Odyssey,Japanese Tempura Courgette with Matcha Salt and Yuzu Ponzu,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Tempura flour"", ""amount"": ""100g""}, {""ingredient"": ""Ice-cold sparkling water"", ""amount"": ""200ml""}, {""ingredient"": ""Matcha salt"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Yuzu ponzu"", ""amount"": ""2 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""coated in light tempura batter""}, {""ingredient"": ""Matcha salt"", ""method"": ""infused for umami enhancement""}, {""ingredient"": ""Dish"", ""method"": ""served with yuzu ponzu for citrus balance""}]",Marinate courgettes in chermoula for 1 hour. Grill until slightly charred. Garnish with preserved lemon and smoked almonds before serving.,"A dish of delicate restraint, where texture and balance reign supreme. The feather-light crispness of tempura batter shatters upon contact, revealing the gentle sweetness of courgette within. The umami depth of matcha salt lingers on the lips, while yuzu ponzu awakens the palate—a fleeting moment of brightness, like the last light of day reflecting on Kyoto’s golden temples."
COU-017,Concoctions,Courgettes On Holiday,Odyssey,Turkish Courgette Fritters with Dill Yogurt and Pomegranate,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Feta cheese"", ""amount"": ""100g""}, {""ingredient"": ""Fresh dill"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Pomegranate seeds"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Greek yogurt"", ""amount"": ""100g""}]","[{""ingredient"": ""Courgettes"", ""method"": ""salted and drained for texture""}, {""ingredient"": ""Fritters"", ""method"": ""fried until golden and crispy""}, {""ingredient"": ""Dish"", ""method"": ""garnished with dill yogurt and pomegranate""}]","Toss courgette batons in a gochujang, honey, and soy glaze. Roast at 200°C (390°F) until caramelized. Garnish with crispy shallots and toasted sesame before serving.","These fritters sing with the echoes of Ottoman kitchens, where the grassy tang of dill intertwines with the gentle salinity of feta, bound together in crisp golden edges. Pomegranate seeds burst with tart vibrancy, their jewel-like glow a striking contrast to the creamy coolness of yogurt—a dish that waltzes between decadence and freshness, indulgence and lightness."
COU-018,Concoctions,Courgettes On Holiday,Odyssey,Thai Courgette Som Tam with Roasted Peanuts and Nam Pla Prik,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Green papaya"", ""amount"": ""1""}, {""ingredient"": ""Roasted peanuts"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Nam pla prik"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Palm sugar"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""shredded into thin strands""}, {""ingredient"": ""Nam pla prik"", ""method"": ""whisked with palm sugar for balance""}, {""ingredient"": ""Dish"", ""method"": ""topped with roasted peanuts for crunch""}]","Roast courgettes and eggplant until tender. Toss with capers, olives, and aged balsamic. Serve warm or at room temperature.","This dish shocks the palate awake, a lightning bolt of acidity, spice, and crunch. The courgettes and green papaya intertwine in a dance of freshness, their crisp snap amplified by the searing brightness of nam pla prik and the rich umami undertones of fish sauce. Crushed peanuts provide a grounding, nutty warmth, a textural contrast that keeps every bite alive with energy and vibrancy."
COU-019,Concoctions,Courgettes On Holiday,Odyssey,Smoked Courgette and Fennel Soup with Caviar and Lemon Oil,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Fennel bulb"", ""amount"": ""1""}, {""ingredient"": ""Vegetable stock"", ""amount"": ""500ml""}, {""ingredient"": ""Sturgeon caviar"", ""amount"": ""30g""}, {""ingredient"": ""Lemon oil"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""smoked over oak for depth""}, {""ingredient"": ""Soup"", ""method"": ""blended with fennel for a silky texture""}, {""ingredient"": ""Dish"", ""method"": ""finished with caviar and lemon oil""}]","Mix grated courgettes with ricotta and season. Fill fresh pasta dough and seal into ravioli. Boil until al dente, then toss in saffron butter and finish with pistachio dust.","A dish that unfolds in layers, each deeper than the last. Courgettes, smoked over oak, release an aroma of embers and woodfire, grounding the delicate anise notes of fennel. The velvet-smooth broth carries a whisper of citrus, broken only by the briny luxury of caviar—tiny bursts of salinity that dissolve like ocean waves upon the tongue."
COU-020,Concoctions,Courgettes On Holiday,Odyssey,"Lebanese Stuffed Courgettes with Lamb, Pine Nuts, and Pomegranate Molasses","[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Ground lamb"", ""amount"": ""100g""}, {""ingredient"": ""Pine nuts"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Pomegranate molasses"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Cooked basmati rice"", ""amount"": ""50g""}]","[{""ingredient"": ""Courgettes"", ""method"": ""hollowed and filled with spiced lamb and rice""}, {""ingredient"": ""Pine nuts"", ""method"": ""toasted for extra crunch""}, {""ingredient"": ""Dish"", ""method"": ""finished with a drizzle of pomegranate molasses""}]",Thread courgette ribbons and halloumi onto skewers. Grill until golden. Serve with harissa yogurt and a sprinkle of lemon zest.,"An ode to Middle Eastern generosity, where courgettes are filled with fragrant spiced lamb, softened by the nutty richness of toasted pine nuts. The pomegranate molasses drizzles over like liquid rubies, its sweet-tart acidity elevating every bite into a melody of depth, warmth, and intrigue. This is a dish that tells stories—of feasts, of tradition, of hands that have prepared it for generations."
EGG-001,Concoctions,Eggs Noir,Nocturne,Caviar and Black Garlic Scrambled Eggs,"[{""ingredient"": ""Organic duck eggs"", ""amount"": ""4""}, {""ingredient"": ""Oscietra caviar"", ""amount"": ""30g""}, {""ingredient"": ""Black garlic purée"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Cultured butter"", ""amount"": ""20g""}, {""ingredient"": ""Fleur de sel"", ""amount"": ""to taste""}, {""ingredient"": ""White pepper"", ""amount"": ""to taste""}]","[{""ingredient"": ""Eggs"", ""method"": ""whisked gently to maintain their delicate texture""}, {""ingredient"": ""Black garlic purée"", ""method"": ""folded in for depth""}, {""ingredient"": ""Eggs"", ""method"": ""cooked over low heat in cultured butter for a rich, creamy finish""}, {""ingredient"": ""Dish"", ""method"": ""topped with Oscietra caviar just before serving""}]","Whisk the duck eggs gently and season with fleur de sel and white pepper. Cook slowly over low heat with cultured butter, stirring constantly to achieve a soft, custard-like texture. Fold in black garlic purée at the last moment. Serve immediately, topping with Oscietra caviar for an indulgent, umami-laden finish.","A dish that whispers of forbidden decadence, where the richness of duck eggs melts into the umami embrace of black garlic. The silky custard-like texture, folded to perfection over low heat, cradles each grain of Oscietra caviar, which bursts on the tongue with saline depth. The air is heavy with the scent of cultured butter, while the first bite reveals a complexity that is at once ancient and modern, a balance of earthly intensity and oceanic luxury."
EGG-002,Concoctions,Eggs Noir,Nocturne,Smoked Egg Yolk with Truffle and Charcoal Aioli,"[{""ingredient"": ""Farm-fresh egg yolks"", ""amount"": ""2""}, {""ingredient"": ""Smoked sea salt"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Black truffle"", ""amount"": ""10g""}, {""ingredient"": ""Charcoal-infused aioli"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Aged balsamic pearls"", ""amount"": ""1 tsp""}]","[{""ingredient"": ""Egg yolks"", ""method"": ""cold-smoked over oak wood""}, {""ingredient"": ""Black truffle"", ""method"": ""shaved into paper-thin slices""}, {""ingredient"": ""Aioli"", ""method"": ""infused with activated charcoal for a dramatic noir effect""}]","Cold-smoke the egg yolks for 20 minutes, then gently cure them in smoked sea salt for an hour. Plate with shaved black truffle, a dollop of charcoal aioli, and aged balsamic pearls for a balance of smoke, richness, and acidity.","A vision of noir elegance, the egg yolk emerges from a veil of smoke, its golden surface kissed by the embers of oak wood. Shaved black truffle lingers in the air, intertwining with the umbral notes of charcoal-infused aioli, a dark and seductive contrast to the yolk’s rich opulence. Aged balsamic pearls add a flicker of brightness, like fireflies dancing against the midnight sky."
EGG-003,Concoctions,Eggs Noir,Nocturne,Soft-Boiled Quail Eggs with Squid Ink Hollandaise,"[{""ingredient"": ""Quail eggs"", ""amount"": ""6""}, {""ingredient"": ""Clarified butter"", ""amount"": ""100ml""}, {""ingredient"": ""Squid ink"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Champagne vinegar"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Fleur de sel"", ""amount"": ""to taste""}]","[{""ingredient"": ""Quail eggs"", ""method"": ""boiled precisely for 3 minutes and peeled""}, {""ingredient"": ""Hollandaise"", ""method"": ""prepared with squid ink for a deep, dramatic color""}, {""ingredient"": ""Sauce"", ""method"": ""emulsified with clarified butter and champagne vinegar""}]","Soft-boil the quail eggs for exactly 3 minutes, then cool and peel carefully. Whisk the squid ink into a classic hollandaise sauce made with clarified butter and champagne vinegar. Serve the eggs nestled in a pool of the dark, briny sauce.","A study in contrasts, where the delicate shell of a quail egg gives way to molten gold, cradled within a midnight-hued hollandaise. The squid ink swirls into the velvety sauce, adding an oceanic mystique, while the perfume of champagne vinegar lends a whisper of acidity. This dish is the embodiment of luxury restrained, a fleeting moment of indulgence held between fingertips."
